ID,OffID,Pop,Fruit,Selfed,Hac_C7,Hac_D1,Hb_B9,Hb_C115,Hac_C114,Hac_B6,Hac_B4,Hac_A103,Hac_A116,Hc_C7,Hc_C126
63A,2,63,63A1,No,225:225,180:180,357:360,297:297,372:372,285:285,243:252,192:192,302:302,348:348,249:270
63A,3,63,63A2,Yes,225:228,180:180,357:357,288:297,372:372,285:285,243:252,208:208,302:302,342:342,249:249
63A,4,63,63A2,No,219:225,180:180,348:357,297:297,372:372,285:285,243:252,192:192,302:302,342:345,249:249
63A,5,63,63A2,Yes,228:228,180:180,345:345,288:288,372:372,285:285,243:252,192:192,302:302,342:342,249:249
63A,6,63,63A3,No,222:225,180:183,345:360,276:288,372:372,285:285,249:252,192:192,302:302,342:357,249:249
63A,7,63,63A3,No,225:225,180:180,345:357,276:288,372:372,285:285,249:252,192:208,302:302,348:354,249:249
63A,8,63,63A3,No,225:225,180:180,345:354,276:288,372:372,285:291,243:252,208:208,302:302,348:372,249:249
63A,9,63,63A4,No,219:228,180:180,345:348,297:297,372:372,285:285,252:252,192:192,302:302,342:360,249:249
63A,10,63,63A4,No,225:225,180:180,345:360,288:288,372:372,285:285,249:252,194:208,302:302,330:348,249:249
63A,11,63,63A5,No,225:228,180:180,345:360,285:288,372:372,285:285,240:243,194:208,302:302,348:354,249:249
63B,0,63,NA,No,225:231,180:180,357:360,285:297,372:372,288:291,240:249,194:200,302:302,345:345,249:249
63B,1,63,63B1,No,219:231,180:180,360:360,288:297,372:372,291:291,240:252,194:206,302:302,345:345,249:249
63B,2,63,63B1,No,219:225,180:180,360:360,276:297,372:372,291:291,240:252,194:194,302:302,336:348,249:249
63B,3,63,63B1,No,225:225,180:180,360:360,288:297,372:372,NA,246:249,194:206,302:302,345:348,249:249
63B,4,63,63B2,No,225:231,180:180,357:357,285:297,372:372,NA,237:240,194:194,292:302,345:348,249:249
63B,5,63,63B2,No,225:231,180:183,357:360,285:297,372:372,288:288,240:252,194:194,302:302,345:348,249:249
63B,6,63,63B2,No,219:231,180:183,357:360,285:285,372:372,288:288,249:252,194:200,302:302,345:348,249:249
63B,7,63,63B3,No,225:225,180:180,348:357,285:285,372:372,285:285,249:252,194:194,302:302,345:354,249:249
63B,8,63,63B3,No,225:231,180:180,357:360,285:285,372:372,288:288,240:243,194:200,302:302,345:348,249:249
63B,9,63,63B4,No,225:225,180:180,357:360,276:285,372:372,291:291,240:243,192:194,302:302,345:345,249:249
63B,10,63,63B4,No,225:231,180:180,360:360,297:297,372:375,288:288,240:249,194:194,302:302,345:345,249:249
63B,11,63,63B5,No,225:225,180:183,357:357,285:297,372:372,288:288,249:252,194:194,302:302,345:348,249:249
63C,0,63,NA,No,225:225,183:183,354:354,285:288,372:372,291:291,249:252,194:200,294:302,330:372,261:270
63C,1,63,63C1,No,225:228,180:183,354:360,288:288,372:375,291:291,249:252,192:200,302:302,330:330,249:261
63C,2,63,63C1,No,225:225,183:183,354:354,288:288,372:375,291:297,252:252,194:194,294:302,NA,249:261
63C,3,63,63C2,No,225:225,183:183,354:354,285:285,372:372,300:300,249:255,194:194,302:302,345:372,249:270
63C,4,63,63C2,No,225:225,180:183,354:354,285:285,372:372,291:291,246:249,194:194,302:302,330:345,249:270
63C,5,63,63C3,No,219:225,183:183,354:354,288:288,372:375,NA,246:252,NA,294:294,372:372,249:270
63E,0,63,NA,No,219:225,180:183,360:360,276:288,372:375,285:291,249:252,194:194,302:302,345:354,249:249
63E,1,63,63E1,No,225:228,180:183,357:360,288:297,372:372,285:285,243:252,194:208,302:302,342:354,249:249
63E,2,63,63E1,No,225:225,180:183,360:360,276:297,372:372,285:285,249:252,194:194,302:302,345:354,249:261
63E,3,63,63E1,No,219:225,180:183,357:360,276:276,372:372,285:285,249:252,194:208,302:302,345:372,249:249
63E,4,63,63E2,Yes,225:225,180:180,360:360,288:288,372:372,291:291,249:252,194:194,302:302,345:354,249:249
63E,5,63,63E2,No,219:225,180:183,360:360,276:288,372:372,288:288,252:258,190:194,302:302,345:354,249:249
63E,6,63,63E2,Yes,225:225,180:183,360:360,276:288,375:375,291:291,249:252,194:194,302:302,345:345,249:249
63E,7,63,63E3,No,225:231,183:183,357:360,276:276,372:375,291:291,249:255,194:194,302:302,345:345,249:249
63E,8,63,63E3,No,225:225,180:183,354:360,288:288,372:372,288:291,240:252,194:206,302:302,342:354,249:249
63E,9,63,63E3,No,225:225,180:180,357:360,276:288,372:372,285:285,243:252,194:208,302:302,348:354,249:249
63E,10,63,63E4,No,219:225,180:186,360:360,288:297,372:372,288:291,243:252,194:194,302:302,345:345,249:249
